log(g) Teff a1 a2 a3 a4 I1 beaming
6.5 14500.0 0.737 -0.1019 0.0217 -0.0204 0.000244373 0.6305
6.5 15000.0 0.7373 -0.1242 0.0408 -0.0263 0.000258641 0.6856
6.5 15500.0 0.7358 -0.1418 0.0558 -0.0308 0.000273105 0.7367
6.5 16000.0 0.7351 -0.161 0.0731 -0.0364 0.000287781 0.7842
6.5 16500.0 0.7344 -0.1797 0.0902 -0.0418 0.000302688 0.8283
6.5 17000.0 0.7339 -0.1986 0.1079 -0.0476 0.000317836 0.8696
6.5 20000.0 0.7525 -0.3539 0.2629 -0.1015 0.000414361 1.0683
6.5 25000.0 0.8859 -0.807 0.7194 -0.2641 0.000603616 1.2821
6.5 30000.0 0.9499 -1.0336 0.9015 -0.3169 0.000859234 1.4175
6.5 35000.0 0.7513 -0.7316 0.5904 -0.1998 0.00114687 1.5105
6.5 40000.0 0.6321 -0.5985 0.4917 -0.1705 0.00137521 1.5782
6.5 45000.0 0.5896 -0.6064 0.5315 -0.1909 0.00156492 1.6296
6.5 50000.0 0.5826 -0.6737 0.6242 -0.229 0.00174019 1.6699
6.5 55000.0 0.5944 -0.7638 0.7325 -0.2712 0.00189966 1.7023
6.5 60000.0 0.6163 -0.8646 0.8468 -0.3147 0.00205127 1.729
6.5 65000.0 0.4471 -0.2535 0.1881 -0.07 0.00253398 1.7513
6.5 70000.0 0.4509 -0.3115 0.2621 -0.0996 0.0026929 1.7703
6.5 75000.0 0.4627 -0.3813 0.3453 -0.1318 0.00285067 1.7865
6.5 80000.0 0.4806 -0.4597 0.4346 -0.1659 0.00300801 1.8006
6.5 85000.0 0.5031 -0.5435 0.5274 -0.2008 0.00316536 1.813
6.5 90000.0 0.529 -0.6301 0.6209 -0.2356 0.00332316 1.8239
6.5 100000.0 0.5837 -0.8015 0.803 -0.3029 0.00364146 1.8424
6.75 3750.0 0.9013 0.2265 -0.7247 0.339 1.1166e-06 -5.0093
6.75 4000.0 1.3065 -0.8478 0.397 -0.0774 1.4621e-06 -4.5104
6.75 4250.0 1.5685 -1.5655 1.1601 -0.3642 1.97094e-06 -4.0707
6.75 4500.0 1.6879 -1.9045 1.5279 -0.5037 2.70215e-06 -3.6807
6.75 4750.0 1.7736 -2.0974 1.7268 -0.5768 3.70909e-06 -3.3324
6.75 5000.0 1.4992 -1.3293 0.9201 -0.2743 5.18403e-06 -3.0198
