log(g) Teff a1 a2 a3 a4 I1 beaming
6.5 15500.0 0.5499 -0.357 0.3696 -0.1519 0.000144277 1.2723
6.5 16000.0 0.5512 -0.3756 0.3881 -0.1583 0.000150507 1.2985
6.5 16500.0 0.5527 -0.3933 0.4056 -0.1645 0.000156807 1.323
6.5 17000.0 0.5547 -0.4116 0.4239 -0.1709 0.000163177 1.3458
6.5 20000.0 0.6119 -0.6099 0.6185 -0.2395 0.000203023 1.4563
6.5 25000.0 0.8162 -1.1087 1.0814 -0.3977 0.000278229 1.5765
6.5 30000.0 0.7361 -0.863 0.7563 -0.2622 0.000378609 1.6535
6.5 35000.0 0.4798 -0.4213 0.344 -0.1195 0.000494591 1.7069
6.5 40000.0 0.4053 -0.3981 0.3676 -0.1368 0.000585126 1.7462
6.5 45000.0 0.405 -0.4957 0.4937 -0.1873 0.000659539 1.7762
6.5 50000.0 0.4295 -0.6216 0.6372 -0.2418 0.000727988 1.7999
6.5 55000.0 0.4615 -0.7429 0.768 -0.2902 0.000790123 1.819
6.5 60000.0 0.4961 -0.8569 0.8869 -0.3336 0.000849118 1.8348
6.5 65000.0 0.1211 0.1586 -0.1424 0.0398 0.0010069 1.8481
6.5 70000.0 0.1313 0.0942 -0.0682 0.0116 0.00106734 1.8594
6.5 75000.0 0.1472 0.0241 0.0085 -0.0168 0.00112736 1.8692
6.5 80000.0 0.1684 -0.0531 0.0911 -0.0473 0.0011872 1.8777
6.5 85000.0 0.192 -0.1303 0.1715 -0.0766 0.00124701 1.8851
6.5 90000.0 0.2185 -0.2102 0.2538 -0.1065 0.00130693 1.8917
6.5 100000.0 0.271 -0.3624 0.4089 -0.1625 0.00142778 1.9029
6.75 3750.0 2.1408 -3.2561 2.8551 -0.977 3.9726e-06 -2.0559
6.75 4000.0 1.8756 -2.7688 2.41 -0.8233 4.77862e-06 -1.7515
6.75 4250.0 1.7856 -2.6175 2.2758 -0.7777 5.81692e-06 -1.485
6.75 4500.0 1.7532 -2.5682 2.2357 -0.7647 7.14361e-06 -1.2501
6.75 4750.0 1.7627 -2.549 2.1979 -0.7463 8.76692e-06 -1.0418
6.75 5000.0 1.4513 -1.6772 1.2584 -0.3894 1.11347e-05 -0.8561
6.75 5250.0 1.2514 -1.1154 0.6744 -0.1729 1.33109e-05 -0.6896
6.75 5500.0 0.9227 -0.2496 -0.1916 0.1392 1.56599e-05 -0.5397
